Transaction Search - Company
BMO - Mastercard, Statement Period 05/06/2026 to 06/05/2026

Posting Date   Tran Date        Account                        Supplier       Amount USD
5/7/2026   5/6/2026 XXXX-XXXX-XXXX-4001   Office Express           $     52.64
5/7/2026   5/6/2026 XXXX-XXXX-XXXX-4001   Office Express           $     80.93
5/7/2026   5/6/2026 XXXX-XXXX-XXXX-4001   Office Express           $    316.69
5/7/2026   5/6/2026 XXXX-XXXX-XXXX-6253   Technology Student Ass   $   1,200.00
5/7/2026   5/7/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bf8it7ep2   $     14.20
5/7/2026   5/7/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf0xj10g2   $     18.89
5/7/2026   5/7/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv4fw4gv1   $     24.27
5/7/2026   5/7/2026 XXXX-XXXX-XXXX-9199   Amazon.Com Bf1yk41j2     $     38.38
5/7/2026   5/7/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bj1rw17x0   $     86.22
5/7/2026   5/7/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bj03h47d0   $    695.84
5/7/2026   5/7/2026 XXXX-XXXX-XXXX-9584   Mu Assessment Res Ctr    $    199.80
5/8/2026   5/6/2026 XXXX-XXXX-XXXX-5173   Burger King #6104 Q07    $     14.82
5/8/2026   5/6/2026 XXXX-XXXX-XXXX-9860   High Noon Books Atp      $    184.80
5/8/2026   5/6/2026 XXXX-XXXX-XXXX-2589   Kwik Star #1927          $     65.77
5/8/2026   5/7/2026 XXXX-XXXX-XXXX-6384   Dominos 1750             $     64.28
5/8/2026   5/7/2026 XXXX-XXXX-XXXX-6384   Aero Rental And Party    $    311.58
5/8/2026   5/7/2026 XXXX-XXXX-XXXX-5110   Nichols Controls &supp   $     52.14
5/8/2026   5/7/2026 XXXX-XXXX-XXXX-2938   Printing Center Usa      $    626.00
