Account                     Transaction Date   Supplier - Name          Transaction - Description                                                                                        Amount
21 0118 1900 920 6840 582   05/05/2026         Fairfield Inn & Suites   Purchase Fairfield Inn & Suites                                                                                      1,246.56
21 0114 1900 950 7220 611   05/04/2026         Holiday Inn              Hotel room for Concert Band Festival judge                                                                                 89.74
10 0000 2610 000 0000 685   05/04/2026         Menards Iowa City Ia     WO 214341 blank plates                                                                                                      7.59
21 0109 1900 920 6860 611   05/04/2026         Gardner Golf Course      Range Balls                                                                                                                18.54
10 0442 1250 421 3233 612   05/04/2026         Amazon.Com Bv7do65i2     Preschool Supplies-Shared Visions: Insect Lore 2 cups of caterpillars-Butterfly Garden Kit Refill                          19.99
21 0209 1900 950 7000 611   05/04/2026         Amazon Mktpl Bj1nb6jm0   LA/Literacy Donation-Lisa Piper-Asst. Classroom supplies                                                                  158.37
10 0481 1282 431 4501 612   05/04/2026         Amazon Mktpl Bv2fy4kt2   Title 1 Supplies-Wood-c/o Cindy McDowell                                                                                  164.68
21 0209 1900 950 7000 611   05/04/2026         Amazon.Com Bj91f4701     LA/Literacy Donation-Brooke Overholt-Asst. Books                                                                          209.09
10 0114 2700 920 6860 515   05/04/2026         Kwik Star #1927          Gas for van to travel to away meet.                                                                                        40.22
10 0432 1200 215 3302 612   05/04/2026         Burger King #11727 Q07   Reinforcement for SID:                                                                                                      9.53
21 0109 1900 923 6601 611   05/04/2026         Caseys #3858             Team Meal                                                                                                                 111.25
10 0000 2610 000 0000 688   05/04/2026         Randys Carpets Coralvi   WO 214323 carpet tile joiner                                                                                              360.00
21 0109 1900 920 6860 611   05/04/2026         Twin Pines Golf Course   Range Balls                                                                                                                11.33
10 0118 1200 215 3302 612   05/04/2026         Walmart.Com              Edibles for SIDs:                                                                                                          26.79
10 0213 1200 212 3301 612   05/04/2026         Walmart.Com              Edibles for SIDs:                                                                                                          16.56
10 0442 1200 218 3303 612   05/04/2026         Walmart.Com              Edibles for SIDs:                                                                                                          20.46
36 0000 4500 000 8999 733   05/04/2026         Google Cloud 22d3pc      Monthly cloud usage                                                                                                  1,204.20
21 0118 1900 950 7210 611   05/04/2026         Comfort Inn & Stes Wi1   Hotel Rooms for Show Choir Trip                                                                                      2,713.17
21 0427 1900 950 7056 611   05/04/2026         Amazon Mktpl Bs8i67uu0   Ozark Beauty Strawberry Plants                                                                                             25.93
10 0472 1282 431 4501 612   05/04/2026         Amazon Mktpl Bv14c8sf2   Title 1 Supplies-Twain-c/o Bethany Bombei                                                                                 139.17
21 0118 1900 921 6730 611   05/04/2026         Lowes #01688             Purchase Lowes #01688                                                                                                     255.50
21 0118 1900 921 6725 611   05/04/2026         Jersey Mikes 38033       Purchase Jersey Mikes 38033                                                                                               391.30
21 0109 1900 922 6720 611   05/04/2026         Google Workspace Littl   Football Website                                                                                                           19.08
10 0218 1300 355 0000 612   05/04/2026         Hy-Vee Iowa City 1285    Credit Voucher Hy-Vee Iowa City 1285 FCS-wrong item was charged                                                           (23.94)
21 0118 1900 923 6601 611   05/04/2026         Usps Po 1843930899       Purchase Usps Po 1843930899---returning lost and found wallet                                                              12.90
61 0109 3110 000 0000 618   05/04/2026         The Webstaurant Store    pans and food storage containers                                                                                          102.62
10 0000 2610 000 0000 685   05/04/2026         Psc Distribution, Inc.   WO 213270 line drier, fittings                                                                                             27.33
21 0427 1900 950 7056 611   05/04/2026         Amazon Mktpl Bv5c259v2   Big Idea Grant for School Garden-Gardening Supplies                                                                        95.62
10 0114 1200 215 3302 612   05/04/2026         Hy-Vee Iowa City 1285    Budgeting, shopping, cooking with SIDs:                                                                                     4.65
10 0109 1200 218 3303 612   05/04/2026         Hy-Vee Iowa City 1285    Budgeting, shopping, cooking with SIDs:                                                                                     9.31
