Account                     Transaction Date   Supplier - Name          Transaction - Description                                                                                        Amount
10 0000 2610 000 0000 687   04/29/2026   Van Meter Inc - Iowa C   Penn power pack                                                                                                     141.79
21 0218 1900 950 7040 611   04/29/2026   Walmart.Com              SEMS-Concessions - Chips, Candy, Soda, Water, Gatorade                                                              236.19
21 0118 1900 950 7015 611   04/29/2026   Amazon.Com Bs4ac1pf0     West HS Library books                                                                                                19.99
10 0118 1200 212 3301 612   04/29/2026   Amazon.Com Bv47t44v2     Edibles for SID:                                                                                                     21.99
21 0118 1900 921 6790 611   04/29/2026   In Shannon Wrestling     Purchase In Shannon Wrestling                                                                                       766.58
10 0488 1282 431 4501 612   04/29/2026   Amazon Mktpl Bv5rv5l62   Lam Sheets, Sheet protectors, Index Cards - Title 1/Weber c/o Danielle Burnett                                       42.86
10 0136 1300 355 0000 612   04/29/2026   Hy-Vee Iowa City 1285    Purchase Hy-Vee Iowa City 1285 FCS Janelle Roberts                                                                   13.05
10 0000 2650 000 0000 434   04/29/2026   Safelite Autoglass       Unit 824 windshield replacement                                                                                     431.75
10 0000 2610 000 0000 688   04/29/2026   Decker Equip School Fi   WO 213638 additional shipping for order                                                                              98.79
10 0445 1282 431 4501 612   04/29/2026   Amazon Mktpl Bs58q5xv0   Supplies funded by Title 1 funds - Mann c/o Camille Wagner Pfeiff                                                   499.63
21 0118 1900 950 7015 611   04/29/2026   Amazon.Com Bs7897w91     West HS Library books                                                                                                74.19
10 0432 1200 215 3302 612   04/29/2026   Burger King #6104 Q07    Reinforcement for SID:                                                                                               11.85
10 0142 2221 000 0000 611   04/29/2026   Hy-Vee Iowa City 1288    Purchase Hy-Vee Iowa City 1288 mailing of ukulele 8th grade music instrument                                         24.25
61 0000 3110 000 0000 618   04/29/2026   Amazon Mktpl Bj3vr4fm1   Wireless Keyboard and Mouse Combo, 26/27 Planner - Nutrition Services                                                64.04
10 0493 2221 000 0000 611   04/29/2026   Amazon Mktpl Bv9kg6l82   Wickham Library supplies & MakerSpace items                                                                          53.95
10 0493 1100 102 0000 612   04/28/2026   Amazon Mktpl Bs6ob0ko1   Recycled Tru-Ray Construction Paper                                                                                  42.25
10 0218 1300 355 0000 612   04/28/2026   Hy-Vee Iowa City 1285    Purchase Hy-Vee Iowa City 1285 FCS G.Westfall-K.Schopf LTS                                                             7.17
10 0109 1300 355 0000 612   04/28/2026   Hy-Vee Aisles Online 4   FCS Classroom Supplies and Materials                                                                                307.17
10 0218 1200 215 3302 612   04/28/2026   Amazon Mktpl Bs9mn3ex0   Edibles for SID:                                                                                                     19.80
                                                                  Purchase Sp Yoto Partners Us for PK teacher Michelle Beninga. Yoto player and "books" to go with it utilizing
21 0427 1900 950 7056 611   04/28/2026   Sp Yoto Partners Us      LIH funds.                                                                                                          417.32
10 0000 2494 000 0000 611   04/28/2026   Odp Bus Sol Llc# 10686   Masking Tape, Jumbo Paper Clips, Address Labels                                                                     101.02
10 0472 1100 100 0000 612   04/28/2026   Amazon.Com Bs5hc7jf0     Business Source Paper Clips, Size 1                                                                                  11.98
10 0000 2610 000 0000 685   04/28/2026   Psc Distribution, Inc.   WO 213901 cleats, returns                                                                                            38.34
10 0000 2620 000 0000 739   04/28/2026   Tifco Industries Inc     Shop loctite, WO 211883 crimp kit, stock fuses                                                                      135.96
10 0000 2131 000 0000 739   04/28/2026   Amazon Mktpl Bs2ao9sz1   Rapid Care 2-Shelf Metal First Aid Cabinet x2 for Jessica Jimmerson/Health Services                                  99.98
10 0209 1200 215 3302 612   04/28/2026   Walmart.Com              Edibles for SIDs:                                                                                                    11.48
10 0442 1200 215 3302 612   04/28/2026   Walmart.Com              Edibles for SIDs:                                                                                                    16.98
10 0118 1200 218 3303 612   04/28/2026   Walmart.Com              Edibles for SID:                                                                                                     69.04
10 0000 2700 421 4565 515   04/28/2026   Hy-Vee Iowa City 1288    Gas Cards - MKV                                                                                                    4,000.00
21 0418 1900 950 7056 611   04/28/2026   Amazon Mktpl Bs95n6300   Lincoln Library books & tape                                                                                        374.81
21 0109 1900 923 6790 611   04/28/2026   Amazon Mktpl Bs3a972n1   Forearm Strengthener and Wrist Roll x2                                                                               39.98
10 0000 2650 000 0000 682   04/28/2026   Aero Rental And Party    Unit 124 hoses                                                                                                      108.91
10 0209 1200 212 3301 612   04/28/2026   Amazon Mktpl Bj67j7wf2   Tangible/break items for SID:                                                                                        35.98
21 0118 1900 950 7250 611   04/28/2026   Dd Doordash Awrestaur    Perfect Attendance Lunch provided by Mr. Gross                                                                       23.47
10 0488 1100 100 9995 615   04/28/2026   Amazon Mktpl Bs06x33h0   Classroom furniture and Supply order for Maddie von Harz - Private donation.                                        899.60
21 0418 1900 950 7056 611   04/28/2026   Amazon Mktpl Bj3py0uz2   Lincoln Library books & tape                                                                                         17.59
21 0109 1900 950 7100 611   04/28/2026   Lenoch & Cilek Ace #1    Art Club Supplies                                                                                                    39.55
                                                                  Magnetic Fraction Educational Puzzles, Magnetic Fraction Tiles & Circles -Title I Order- OLP c/o Chasity Beelner
10 0142 1282 431 4501 612   04/27/2026   Amazon Mktpl Bj3c966a2   Supplies                                                                                                             30.57
21 0118 1900 921 6740 611   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                      362.88
21 0118 1900 921 6740 611   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                      362.88
                                                                  The Outsiders/24, Harbor Me/4, Hole Punch 2pk, WiteOut Tape, Erasers, Math Manipulatives, Powerpoint
10 0142 1282 431 4501 612   04/27/2026   Amazon Mktpl Bj6rq1m42   Clicker -Title I Order- OLP c/o Chasity Beelner Supplies                                                            253.43
21 0114 1900 923 6601 611   04/27/2026   Amazon Mktpl Bs46b2ez1   Dry Refill Wipes for gym equipment                                                                                  223.90
10 0109 2120 000 0000 611   04/27/2026   Amazon Mktpl Bs1dq9em1   Staples 10 x 13 White Wove Clasp Envelopes- J.Fisher/Counseling Office                                               81.68
21 0109 1900 923 6601 611   04/27/2026   Drake Univ Athletic De   Drake Relays Coaches Wristbands                                                                                      75.00
21 0109 1900 920 6840 811   04/27/2026   Drake Univ Athletic De   Drake Relays Coaches Wristbands                                                                                    75.00
10 0493 2221 000 0000 611   04/27/2026   Amazon Mktpl Bj41v0qm2   Wickham Library supplies                                                                                           28.30
21 0118 1900 921 6740 611   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
21 0118 1900 921 6740 611   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
21 0118 1900 921 6740 611   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
21 0209 1900 950 7000 611   04/27/2026   Amazon.Com Bs4ca98p1     A Dog's Purpose: A Novel for Humans x5 - Evan Hartley/Literacy/LA Donations for books                              52.25
21 0118 1900 921 6740 611   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
21 0209 1900 950 7000 611   04/27/2026   Amazon.Com Bs2ap3bp1     The Martian, Klara and the Sun - Literacy/LA book donation                                                        137.23
10 0118 1200 212 3301 612   04/27/2026   McDonalds 27165          Reinforcements for SIDs:                                                                                             9.95
10 0118 1200 215 3302 612   04/27/2026   McDonalds 27165          Reinforcements for SIDs:                                                                                           19.92
21 0213 1900 950 7056 611   04/27/2026   Amazon Mktpl Bs2jj5q61   500pk Tongue Depressors - Science/Little Idea Grant                                                                25.98
10 0114 2700 920 6740 515   04/27/2026   Kwik Star #1927          Gas for vans - travel to Drake Relays                                                                              69.16
10 0000 1100 100 9995 615   04/27/2026   Amazon Mktpl By17i4s60   18-1/2" Silver Accolade Perpetual Cup Trophy Custom Award Prime                                                   119.99
21 0109 2700 920 6740 515   04/27/2026   Kwik Star #1918          Boys TF Van Gas                                                                                                    24.33
21 0114 1900 920 6601 582   04/27/2026   Taco Johns 9703          Meal for AD during travel to event                                                                                 13.36
21 0118 1900 921 6740 611   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
10 0118 1200 218 3303 612   04/27/2026   Amazon Mktpl Bj0132kz2   Tangible reinforcement for SID:                                                                                      8.99
10 0493 1100 102 0000 612   04/27/2026   Amazon.Com Bj2jc5712     Tru-Ray Construction Paper                                                                                         26.91

10 0209 1100 100 0000 612   04/27/2026   Amazon Mktpl Bs9062o90   Bacteria Science Kit, 50pcs Plastic Dropper Bottle, Microscope Slides and Covers - Lori Chasse/6th gr Science      51.57
21 0109 2700 920 6840 515   04/27/2026   Caseys #2870             Girls TF Gas                                                                                                       67.58
21 0109 2700 920 6740 515   04/27/2026   Bp#5987524j&s Expreqps   Boys TF Van Gas                                                                                                    79.70
21 0114 1900 921 6740 611   04/27/2026   Holiday Inn Express &    Hotel stay for boys Track team at Drake Relays                                                                    178.08
21 0114 1900 920 6740 582   04/27/2026   Holiday Inn Express &    Hotel stay for boys Track team at Drake Relays                                                                    178.08
10 0118 1200 212 3301 612   04/27/2026   Amazon.Com Bs5o214c0     Edible reinforcement for SID:                                                                                      20.96
10 0493 2221 000 0000 611   04/27/2026   Amazon Mktpl By4yw9dh0   Wickham Library supplies                                                                                           22.26
21 0118 1900 921 6825 611   04/27/2026   Amazon Mktpl Bs46f2q91   50pk Heavy Duty Carabine Clips - Girls Soccer                                                                      20.51
21 0118 1900 920 6840 582   04/27/2026   Fairfield Inn & Suites   Purchase Fairfield Inn & Suites--Drake Stay                                                                       250.88
21 0118 1900 921 6840 611   04/27/2026   Fairfield Inn & Suites   Purchase Fairfield Inn & Suites--Drake Stay                                                                       250.88
21 0109 1900 950 7135 611   04/27/2026   Blackstone-Ic.Com        Spring Musical Hell Week Meals                                                                                    783.75
21 0118 1900 921 6740 611   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines--DRAKE                                                                             181.44
21 0118 1900 920 6740 582   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines--DRAKE                                                                             181.44
10 0403 2221 000 0000 643   04/27/2026   Amazon.Com Bj61222h2     Cor Central Library books                                                                                         235.96
21 0114 1900 921 6860 611   04/27/2026   Ellis Golf Course        Golf balls for driving range - used for warmups                                                                    12.36
10 0000 2610 000 0000 689   04/27/2026   Menards Iowa City Ia     WO 214165 fittings                                                                                                 19.63
21 0118 1900 920 6740 582   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
10 0000 2610 000 0000 685   04/27/2026   Van Meter Inc - Iowa C   City fuses                                                                                                        225.20
10 0493 2221 000 0000 643   04/27/2026   Amazon.Com Bs1or8qt1     Wickham Library books                                                                                              80.69
10 0114 2700 920 6740 515   04/27/2026   Kwik Star #1927          Gas for vans - Travel to Drake Relays                                                                              65.46
21 0118 1900 920 6740 582   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
10 0000 2131 000 0000 611   04/27/2026   Amazon Mktpl Bj0vd09s2   Bacitracin Zinc Ointment, 2400pk 3oz Disposable Paper Cups - Health Services                                       46.54
21 0114 1900 920 6601 582   04/27/2026   McDonalds F24306         Food for AD during travel to Drake Relays                                                                            6.10
21 0118 1900 920 6740 582   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
21 0118 1900 920 6740 582   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
10 0109 1200 218 3303 612   04/27/2026   Walmart.Com              Edibles for SIDs:                                                                                                    5.96
10 0109 1200 218 3303 612   04/27/2026   Walmart.Com              Edibles for SIDs:                                                                                                    5.97
10 0209 1200 215 3302 612   04/27/2026   Walmart.Com              Edibles for SIDs:                                                                                                  18.96
10 0114 1200 215 3302 612   04/27/2026   Walmart.Com              Edibles for SIDs:                                                                                                  49.09
10 0403 2221 000 0000 643   04/27/2026   Amazon.Com Bj3nx62j2     Cor Central Library books                                                                                          13.14
21 0114 1900 921 6740 611   04/27/2026   Holiday Inn Express &    Hotel stay for boys Track team at Drake Relays                                                                    178.08
21 0114 1900 920 6740 582   04/27/2026   Holiday Inn Express &    Hotel stay for boys Track team at Drake Relays                                                                    178.08
21 0109 2700 920 6840 515   04/27/2026   Bp#5987524j&s Expreqps   Girls TF Van Gas                                                                                                   61.59
10 0406 1100 100 0000 612   04/27/2026   Amazon Mktpl By6ku5wm0   Laminate for workroom                                                                                              61.55
21 0114 1900 921 6740 611   04/27/2026   Holiday Inn Express &    Hotel stay for boys Track team at Drake Relays                                                                    178.08
21 0114 1900 920 6740 582   04/27/2026   Holiday Inn Express &    Hotel stay for boys Track team at Drake Relays                                                                    178.08
10 0000 2131 000 0000 611   04/27/2026   Amazon Mktpl Bj98k6vx2   Bandages                                                                                                           71.24
21 0114 1900 920 6601 582   04/27/2026   Drake Univ Athletic De   Parking fee for Drake Relays for AD                                                                                75.00
21 0118 1900 950 7110 611   04/27/2026   Gaylord Inn Opryland F   BPA Nationals Hotel Rooms                                                                                       30,073.20
21 0442 1900 950 7000 611   04/27/2026   Amazon Mktpl Bs87s3bd1   Tattoos and Face paint for end of year celebration - Abbie Whittemore                                              56.41
21 0114 1900 921 6740 611   04/27/2026   Holiday Inn Express &    Hotel stay for boys Track team at Drake Relays                                                                    178.08
21 0114 1900 920 6740 582   04/27/2026   Holiday Inn Express &    Hotel stay for boys Track team at Drake Relays                                                                    178.08
21 0114 1900 920 6601 582   04/27/2026   Flying J 913             Food for AD during travel to Drake Relays                                                                            7.26
21 0118 1900 950 7240 611   04/27/2026   Amazon Mktpl Bs4yp54y0   Items for Special Ed talent show                                                                                   32.49
21 0118 1900 920 6740 582   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
10 0109 2120 000 0000 611   04/27/2026   Amazon Mktpl By2td02o0   Scotch Tape refills, - J.Fisher/Counseling Office                                                                  42.41
21 0118 1900 920 6740 582   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
21 0109 1900 923 6790 611   04/27/2026   Amazon Mktpl Bj5cg0h32   Monkee Grip Original Rope Grips x2 - Cory Connell/Boys Wrestling                                                   77.88
10 0488 1100 100 9995 615   04/27/2026   Amazon Mktpl Bs9fi9ou0   Stackable Stools Set of 8 - Maddie von Harz - Private donation.                                                    90.00
21 0118 1900 920 6740 582   04/27/2026   Hotel Fort Des Moines    Purchase Hotel Fort Des Moines                                                                                    362.88
10 0493 1100 102 0000 612   04/27/2026   Amazon Mktpl Bj06607q2   Art Supplies - Heather Stevens                                                                                    901.61
10 0403 2221 000 0000 643   04/27/2026   Amazon.Com By9qm6ie0     Cor Central Library books                                                                                          12.11
21 0418 1900 950 7056 611   04/27/2026   Amazon.Com By66c4w20     Lincoln Library books & tape                                                                                       13.25
10 0118 1300 316 0000 612   04/27/2026   Amazon Mktpl By7xg3620   30pcs #8-32 Wingnuts, Carbon Steel                                                                                   5.88
10 0432 1200 215 3302 612   04/24/2026   Burger King #6104 Q07    Reinforcement for SID:                                                                                               8.68
21 0442 1900 950 7000 611   04/24/2026   Act Iowacityp&rdept      Purchase Act Iowacityp&rdept - Wetherby shelter reservation for 5th Grade Cook Out                                 50.00
21 0109 1900 950 7135 611   04/24/2026   Sq The Wedge Pizzeria    Spring Musical Hell Week Meals                                                                                    450.00
10 0000 2650 000 0000 683   04/24/2026   Linder Tire - Iowa Cit   Unit 420 new tube                                                                                                  51.56
10 0213 1300 355 0000 612   04/24/2026   Hy-Vee Coralville 1080   Purchase Hy-Vee Coralville 1080 food and nutrition strawberry julius                                               10.97
10 0209 1100 100 0000 612   04/24/2026   Usps Po 1866150317       Purchase Usps Po 1866150317 - Student mailings                                                                       7.16
10 0114 2700 920 6860 515   04/24/2026   Kwik Star #1927          Gas for vans - travel to away meet                                                                                 38.05
10 0447 1100 100 9995 615   04/24/2026   Amazon Mktpl Bs0uc6ng1   Mrs Wordsmith 3rd Grade English Sen- Zimmerman Grant/Megan Wilson                                                  30.29
10 0109 1100 100 9995 615   04/24/2026   Tst Blackstone           Admin Assistance Appreciation Day - Foundation General Account                                                    291.39
10 0000 2650 000 0000 683   04/24/2026   Linder Tire - Iowa Cit   Unit 805 patch tire                                                                                                29.50
10 0213 1200 218 3303 612   04/24/2026   Walmart.Com 8009256278   Edibles for SIDs:                                                                                                    8.47
10 0442 1200 215 3302 612   04/24/2026   Walmart.Com 8009256278   Edibles for SIDs:                                                                                                  11.76
10 0000 2610 000 0000 688   04/24/2026   Menards Iowa City Ia     Mercer baseball turf utility blades, trowels                                                                       16.99
10 0000 2610 000 0000 739   04/24/2026   Menards Iowa City Ia     Mercer baseball turf utility blades, trowels                                                                       29.50
10 0000 2610 000 0000 688   04/24/2026   Menards Iowa City Ia     WO 214142 sealant, masking tape                                                                                    52.41
21 0109 1900 950 7135 611   04/24/2026   Walgreens #5077          Spring Musical Hell Week Supplies                                                                                    5.27
10 0218 1300 355 0000 612   04/24/2026   Hy-Vee Aisles Online 4   Purchase Hy-Vee Aisles Online 4 FCS G. Westfall-K.Schopf LTS                                                   21.43
10 0472 2410 000 0000 611   04/24/2026   Amazon Mktpl Bj4nu6t72   MaxPrint Large Size Pre-Inked Custom Signature Stamp - Stamp Customized with Your Signature                    31.64
10 0447 1100 100 9995 615   04/24/2026   Amazon.Com By9wc9630     Kerplunk Kids Game - - Zimmerman Grant/Megan Wilson                                                            14.97
10 0118 1200 212 3301 612   04/24/2026   Tropical Smoothie Cafe   Reinforcement for SID:                                                                                         15.14
10 0109 1300 355 0000 612   04/23/2026   Hy-Vee Iowa City 1288    FCS Classroom Supplies and Materials                                                                           30.07
21 0118 1900 950 7250 611   04/23/2026   Tst La Regia             La Regia lunch for administrative perfessionals day - approved on spreadsheet                                 202.73
10 0000 2610 000 0000 689   04/23/2026   Plumb Supply - Ioc - 0   WO 214043 fittings                                                                                            199.00
10 0118 1300 316 0000 612   04/23/2026   Amazon Mktpl Bs8m96ff1   10pk Balsa Wood x2 - Keith Kraeplin                                                                            84.46
10 0114 1200 215 3302 612   04/23/2026   Hy-Vee Coralville 1080   Edibles for SIDs:                                                                                                9.57
10 0427 1200 215 3302 612   04/23/2026   Hy-Vee Coralville 1080   Edibles for SIDs:                                                                                              23.55
10 0213 1100 102 0000 612   04/23/2026   School Specialty Ecomm   Construction paper, Tagboard, Paint, Craft sticks, Toothpicks, Glue, Tape, Sharpies, Foam plates, Sculpey     836.38
21 0406 1900 950 7031 611   04/23/2026   Hy-Vee Aisles Online 4   Kirkwood-Cooking Club -Flour Tortillas 20ct x2, Salsa, Mozz. Cheese, Sour Cream                                37.38
21 0109 2700 920 6860 515   04/23/2026   Bp#3299700iowa Cityqps   Gas for Girls Golf Van                                                                                         18.72
21 0213 1900 950 7056 611   04/23/2026   Walmart.Com              Large Rolling Whiteboard - NWMS-Ellen Robinson                                                                 95.99
21 0118 1900 921 6860 611   04/23/2026   Brueggers 3730           Purchase Brueggers 3730                                                                                        27.37
21 0118 1900 923 6601 611   04/23/2026   Drake Univ Athletic De   Purchase Drake Univ Athletic De                                                                               247.20
61 0213 3110 000 0000 618   04/23/2026   Wm Supercenter #1721     blenders for pureed diets at KW and Mann                                                                       39.94
10 0136 1300 355 0000 612   04/23/2026   Hy-Vee Iowa City 1285    Purchase Hy-Vee Iowa City 1285 FCS supplies Janelle Roberts                                                    38.12
21 0213 1900 950 7056 611   04/23/2026   Lowes #00907             Insulfoam R-1.88 x2 - NWMS-Ellen Robinson                                                                      23.28
10 0118 1300 316 0000 612   04/23/2026   Amazon Mktpl Bs3605fc1   2pk Staplers, 3ft Extension Cord x2, 3D Printer Filament refill, - Keith Kraeplin                              62.41
21 0114 1900 950 7000 611   04/23/2026   Amazon Mktpl Bs3eq2oq1   Classroom/Office Supplies                                                                                    1,025.33
21 0209 1900 950 7000 611   04/23/2026   Ba@cornell C Qps         Purchase Ba@cornell C Qps-Lunch for AVID Fieldtrip                                                            286.90
21 0114 1900 921 6860 611   04/23/2026   Ellis Golf Course        Range balls for Golf Team warmups                                                                                9.27
10 0000 1100 412 4644 612   04/23/2026   Amazon.Com Bs4ea6o81     Co-Teaching for English Learners: x2 - Kelley Latimer,ELL/Title III Textbooks                                  53.74
10 0109 1200 215 3302 612   04/23/2026   Wm Supercenter #1721     Budgeting, shopping, graduation for SIDs:                                                                        2.57
10 0114 1200 215 3302 612   04/23/2026   Wm Supercenter #1721     Budgeting, shopping, graduation for SIDs:                                                                        2.57
10 0109 1200 218 3303 612   04/23/2026   Wm Supercenter #1721     Budgeting, shopping, graduation for SIDs:                                                                      10.33
21 0109 2700 920 6860 515   04/23/2026   Caseys #3858             Gas for Girls Golf Van                                                                                         29.51
10 0000 2610 000 0000 688   04/22/2026   Menards Iowa City Ia     WO 213991 plywood, lumber, screws                                                                             237.06
10 0000 2610 000 0000 685   04/22/2026   Millennium Technology    Airedale parts                                                                                                575.46
21 0118 1900 923 6601 611   04/22/2026   Bound 116th Drake Rel    Purchase Bound 116th Drake Rel                                                                                460.81
10 0447 1100 100 9995 615   04/22/2026   Amazon Mktpl By9ey83r0   Mrs Wordsmith Storyteller's Word A                                                                             27.75
                                                                  Cardstock, DE Markers, Play-Doh, Games, Workbooks, Pens, Books, Fidget toys, Rulers - Zimmerman
10 0447 1100 100 9995 615   04/22/2026   Amazon Mktpl By53o57m1   Grant/Megan Wilson                                                                                            169.56
10 0136 1300 355 0000 612   04/22/2026   Trader Joe S #728        Purchase Trader Joe S #728 Health Class supplies for a healthy breakfast, Kevin Johnson                        66.29
10 0118 1300 355 0000 612   04/22/2026   Fareway Meat And Groce   Food Lab Groceries - Approved on Spreadsheet                                                                  101.30
10 0442 1200 215 3302 612   04/22/2026   Amzn Digital By6vz47e1   Break items for SID:                                                                                           30.00
10 0000 2494 000 0000 611   04/22/2026   Odp Bus Sol Llc # 1051   File Folders                                                                                                   68.40
21 0481 1900 950 7056 611   04/22/2026   Amazon Mktplace Pmts     Wood Library Family Night items - Big Idea Foundation Grant credit                                            (102.69)
21 0118 1900 921 6725 611   04/22/2026   Jersey Mikes 38034       Purchase Jersey Mikes 38034                                                                                   404.55
21 0114 1900 921 6740 611   04/22/2026   Bound 116th Drake Rel    Meet entry fee for athletes who qualified for Drake Relays                                                     71.51
21 0114 1900 920 6740 811   04/22/2026   Bound 116th Drake Rel    Meet entry fee for athletes who qualified for Drake Relays                                                     71.50
21 0109 1900 950 7135 611   04/22/2026   Walgreens #5077          Spring Musical Hell Week Supplies                                                                                6.44
21 0481 1900 950 7056 611   04/22/2026   Amazon Mktplace Pmts     Wood Library Family Night items - Big Idea Foundation Grant credit                                              (4.94)
21 0488 1900 950 7056 611   04/22/2026   Amazon.Com Bs3kj6y32     Weber Library books                                                                                            29.36
21 0118 1900 923 6601 611   04/22/2026   Sp Plunge                Purchase Sp Plunge                                                                                            187.09
10 0432 1200 215 3302 612   04/22/2026   Burger King #6104 Q07    Reinforcement for SID:                                                                                           8.68
10 0468 1100 100 9995 615   04/22/2026   Amazon Mktpl By0i189a1   LCD Writing Tablet, Games, Magnetic 10-Frame Set, Feedback Reading Phones, Drawing kit                        142.44
21 0114 1900 950 7110 611   04/22/2026   Gaylord Inn Opryland F   Hotel rooms for Liberty BPA Nationals - Hammes/Langenfeld rooms charged to Perkins, please split            14,245.52
10 9331 1300 390 4531 582   04/22/2026   Gaylord Inn Opryland F   Hotel rooms for Liberty BPA Nationals - Hammes/Langenfeld rooms charged to Perkins, please split             3,165.28
10 0218 1300 355 0000 612   04/22/2026   Fareway Stores #950      Purchase Fareway Stores #950 FCS Ms. Westfall/K. Schopf (LTS)                                                  16.41
61 0000 3110 000 0000 618   04/22/2026   Amazon Mktpl By3ko9uh1   240pk Colored File Folders 8x11 Picture Frame - Nutrition Services                                             45.88
10 0436 3300 431 4501 618   04/22/2026   Amazon.Com Bj2rj2ci2     Clue Board Game for Ages 8 and Up x3 -Family Game Night - Title 1 Funds                                        33.57
10 0114 2700 920 6860 515   04/22/2026   Kwik Star #1927          Gas for van travel to and from golf course                                                                     46.72
10 0447 1100 100 9995 615   04/22/2026   Amazon Mktpl By38d83q0   Comeback Kids: -- Zimmerman Grant/Megan Wilson                                                                   6.38
21 0109 1900 950 7220 611   04/22/2026   Lenoch & Cilek Ace #6    Band Instrument Repair Supplies and Materials                                                                  52.95
10 0447 2221 000 0000 643   04/22/2026   Amazon Mktpl By29t77d1   Penn Library books & supplies                                                                                  38.60
10 0468 1100 100 9995 615   04/22/2026   Amazon.Com By9qa89x1     Somdot Narrow Dresser with 4 Drawers                                                                           89.98
10 0109 1300 355 0000 612   04/21/2026   Wm Supercenter #1721     FCS Classroom Supplies and Materials                                                                          213.77
21 0118 1900 921 6840 611   04/21/2026   Zio Johnos Iowa City     Purchase Zio Johnos Iowa City                                                                                 231.81
21 0118 1900 921 6725 611   04/21/2026   Jersey Mikes 38033       Purchase Jersey Mikes 38033                                                                                   251.10
10 0000 1200 219 3309 612   04/21/2026   Amazon Mktpl By8kx7dv1   Ipad cases for inventory                                                                                      344.85
10 0109 1300 355 0000 612   04/21/2026   Hy-Vee Aisles Online 4   FCS Classroom Supplies and Materials                                                                          116.65
10 0000 2494 000 0000 611   04/21/2026   Odp Bus Sol Llc# 10686   Green Ink Pens, Red 2-Pocket Folders, AA Batteries                                                             51.90
10 0109 1300 355 0000 612   04/21/2026   Hy-Vee Iowa City 1285    FCS Classroom Supplies and Materials                                                                           77.37
10 0218 1300 355 0000 612   04/21/2026   Hy-Vee Iowa City 1285    Purchase Hy-Vee Iowa City 1285 FCS Ms. Westfall/K. Schopf (LTS)                                                28.26
10 0447 2221 000 0000 643   04/21/2026   Amazon.Com Bs4zq2iv2     Penn Library books & supplies                                                                                  17.76
10 0000 2610 000 0000 688   04/21/2026   Doyle Security Product   Stock key blanks                                                                                              109.84
10 0000 2131 000 0000 611   04/21/2026   Amazon Mktpl By0vs8dc1   Exam Gloves                                                                                                   125.12
10 0472 1100 100 0000 612   04/21/2026   Amazon.Com By8zh0si1     Classroom and Office Supplies                                                                                  29.41
21 0114 1900 921 6860 611   04/21/2026   Qlt Derby Grange Golf    Range balls for Golf Team warm ups before competition.                                                         37.26
21 0118 1900 950 7250 611   04/21/2026   Wingstop 1965            Perfect Attendance Lunch Purchased by Mr. Gross                                                                24.78
21 0109 2700 920 6740 515   04/21/2026   Bp#3299700iowa Cityqps   Gas for Boys TF Van                                                                                            33.69
10 0472 1100 100 0000 612   04/21/2026   Amazon Mktpl Bs5jl7rt2   Classroom and Office Supplies                                                                                  21.19
10 0213 1100 100 0000 612   04/21/2026   Amazon.Com Bs8sp7iw2     AA Batteries for PE Microphones                                                                                19.02
21 0109 1900 950 7135 611   04/21/2026   Andale Cantina Inc       Spring Musical Hell Week Meals                                                                                900.00
10 0209 1100 100 0000 612   04/21/2026   Amazon.Com Bs0ed6ut2     Cardstock                                                                                                     510.34
10 0472 1100 100 0000 612   04/20/2026   Amazon Mktpl Bs0qa9v92   Classroom and Office Supplies                                                                                  23.95
21 0109 1900 950 7135 611   04/20/2026   Sq Donutland             Spring Musical Supplies and Materials                                                                          39.68
10 0418 1100 100 0000 612   04/20/2026   Amazon Mktpl By1l08x71   Dry Erase Pocket Sleeves                                                                                       17.99
21 0209 1900 950 7000 611   04/20/2026   Amazon Mktpl By4qj43m1   Classroom Books - Klaudia Hall-Literacy/LA Book donation order                                                   8.13
21 0218 1900 950 7040 611   04/20/2026   Walmart.Com              SEMS-Concessions - Chips, Candy, Soda, Water, Gatorade                                                        437.37
10 0000 2494 000 0000 611   04/20/2026   Odp Bus Sol Llc# 10686   AAA Batteries, White label tape                                                                                59.47
