meeting_date,meeting_id,document_name,file_size_bytes,filename
2024-09-24,30954,20240917DetailCheckRegister.pdf,277957,2024-09-24__20240917DetailCheckRegister.pdf
2024-09-24,30954,Accounts_Payable_Summaries - 20240924.pdf,47559,2024-09-24__Accounts_Payable_Summaries - 20240924.pdf
2024-10-08,30955,10-1-2024BoardReport10003.pdf,243723,2024-10-08__10-1-2024BoardReport10003.pdf
2024-10-08,30955,10-1-2024CheckRegisterbyCheckingAccount.pdf,28035,2024-10-08__10-1-2024CheckRegisterbyCheckingAccount.pdf
2024-10-08,30955,10-1-2024DetailCheckRegister.pdf,190298,2024-10-08__10-1-2024DetailCheckRegister.pdf
2024-10-08,30955,9-24-2024BoardReport9242024.pdf,69650,2024-10-08__9-24-2024BoardReport9242024.pdf
2024-10-08,30955,9-24-2024CheckRegisterbyCheckingAccount.pdf,13058,2024-10-08__9-24-2024CheckRegisterbyCheckingAccount.pdf
2024-10-08,30955,9-24-2024DetailCheckRegister.pdf,55452,2024-10-08__9-24-2024DetailCheckRegister.pdf
2024-10-08,30955,Accounts_Payable_Summaries - 20241008.pdf,47222,2024-10-08__Accounts_Payable_Summaries - 20241008.pdf
2024-10-22,30960,10-15-2024BoardReport10003.pdf,272418,2024-10-22__10-15-2024BoardReport10003.pdf
2024-10-22,30960,10-15-2024CheckRegisterbyCheckingAccount.pdf,29815,2024-10-22__10-15-2024CheckRegisterbyCheckingAccount.pdf
2024-10-22,30960,10-15-2024DetailCheckRegister.pdf,202192,2024-10-22__10-15-2024DetailCheckRegister.pdf
2024-10-22,30960,10-8-2024BoardReport10003.pdf,79510,2024-10-22__10-8-2024BoardReport10003.pdf
2024-10-22,30960,10-8-2024CheckRegisterbyCheckingAccount.pdf,14576,2024-10-22__10-8-2024CheckRegisterbyCheckingAccount.pdf
2024-10-22,30960,10-8-2024DetailCheckRegister.pdf,61954,2024-10-22__10-8-2024DetailCheckRegister.pdf
2024-10-22,30960,Accounts_Payable_Summaries - 20241022.pdf,47256,2024-10-22__Accounts_Payable_Summaries - 20241022.pdf
2024-11-12,30961,10-29-2024BoardReport10003.pdf,54231,2024-11-12__10-29-2024BoardReport10003.pdf
2024-11-12,30961,10-29-2024CheckRegisterbyCheckingAccount.pdf,12013,2024-11-12__10-29-2024CheckRegisterbyCheckingAccount.pdf
2024-11-12,30961,10-29-2024DetailCheckRegister.pdf,47769,2024-11-12__10-29-2024DetailCheckRegister.pdf
2024-11-12,30961,11-5-2024BoardReport10003.pdf,299447,2024-11-12__11-5-2024BoardReport10003.pdf
2024-11-12,30961,11-5-2024CheckRegisterbyCheckingAccount.pdf,29174,2024-11-12__11-5-2024CheckRegisterbyCheckingAccount.pdf
2024-11-12,30961,11-5-2024DetailCheckRegister.pdf,235639,2024-11-12__11-5-2024DetailCheckRegister.pdf
2024-11-12,30961,20241024CheckRegisterbyCheckingAccount.pdf,5990,2024-11-12__20241024CheckRegisterbyCheckingAccount.pdf
2024-11-12,30961,20241024DetailCheckRegister.pdf,6184,2024-11-12__20241024DetailCheckRegister.pdf
2024-11-12,30961,20241024_BoardReport10003.pdf,8904,2024-11-12__20241024_BoardReport10003.pdf
2024-11-12,30961,Accounts_Payable_Summaries - 20241112.pdf,47415,2024-11-12__Accounts_Payable_Summaries - 20241112.pdf
2024-12-10,30967,11-12-2024BoardReport10003.pdf,45832,2024-12-10__11-12-2024BoardReport10003.pdf
2024-12-10,30967,11-12-2024CheckRegisterbyCheckingAccount.pdf,11321,2024-12-10__11-12-2024CheckRegisterbyCheckingAccount.pdf
2024-12-10,30967,11-12-2024DetailCheckRegister.pdf,39151,2024-12-10__11-12-2024DetailCheckRegister.pdf
2024-12-10,30967,11-19-2024BoardReport10003.pdf,299291,2024-12-10__11-19-2024BoardReport10003.pdf
2024-12-10,30967,11-19-2024CheckRegisterbyCheckingAccount.pdf,31496,2024-12-10__11-19-2024CheckRegisterbyCheckingAccount.pdf
2024-12-10,30967,11-19-2024DetailCheckRegister.pdf,213772,2024-12-10__11-19-2024DetailCheckRegister.pdf
2024-12-10,30967,12-3-2024BoardReport10003.pdf,207564,2024-12-10__12-3-2024BoardReport10003.pdf
2024-12-10,30967,12-3-2024CheckRegisterbyCheckingAccount.pdf,24225,2024-12-10__12-3-2024CheckRegisterbyCheckingAccount.pdf
2024-12-10,30967,12-3-2024DetailCheckRegister.pdf,160970,2024-12-10__12-3-2024DetailCheckRegister.pdf
2024-12-10,30967,Accounts_Payable_Summaries - 20241210.pdf,47341,2024-12-10__Accounts_Payable_Summaries - 20241210.pdf
2025-01-14,30971,1-7-2025BoardReport10003.pdf,327772,2025-01-14__1-7-2025BoardReport10003.pdf
2025-01-14,30971,1-7-2025CheckRegisterbyCheckingAccount.pdf,37001,2025-01-14__1-7-2025CheckRegisterbyCheckingAccount.pdf
2025-01-14,30971,1-7-2025DetailCheckRegister.pdf,273322,2025-01-14__1-7-2025DetailCheckRegister.pdf
2025-01-14,30971,12-17-2024BoardReport10003.pdf,292881,2025-01-14__12-17-2024BoardReport10003.pdf
2025-01-14,30971,12-17-2024CheckRegisterbyCheckingAccount.pdf,31915,2025-01-14__12-17-2024CheckRegisterbyCheckingAccount.pdf
